district,category,total19,total20,total21,last12mos
D1,Murder,6,15,15,14
D1,Sexual Assault,29,29,35,30
D1,Robbery,136,116,107,127
D1,Aggravated Assault,371,433,426,316
D1,Burglary,458,379,261,254
D1,Theft,1390,1435,1148,1273
D1,Vehicle Theft,104,146,120,123
D2,Murder,6,7,6,7
D2,Sexual Assault,22,27,34,33
D2,Robbery,166,164,151,183
D2,Aggravated Assault,322,450,287,239
D2,Burglary,463,497,435,393
D2,Theft,1981,2103,2196,1980
D2,Vehicle Theft,199,206,205,221
D3,Murder,11,1,7,6
D3,Sexual Assault,21,21,19,27
D3,Robbery,122,120,109,119
D3,Aggravated Assault,160,179,221,184
D3,Burglary,346,366,300,225
D3,Theft,2115,2062,1756,1736
D3,Vehicle Theft,115,192,150,177
D4,Murder,12,13,18,17
D4,Sexual Assault,28,37,27,39
D4,Robbery,145,179,137,159
D4,Aggravated Assault,331,504,432,376
D4,Burglary,512,483,370,358
D4,Theft,1777,1724,1713,1717
D4,Vehicle Theft,212,285,162,208
D5,Murder,3,2,4,1
D5,Sexual Assault,6,5,7,6
D5,Robbery,42,33,27,37
D5,Aggravated Assault,66,77,71,64
D5,Burglary,72,92,78,57
D5,Theft,572,359,543,475
D5,Vehicle Theft,47,49,49,57
